machine_id,value_ISO,value_DEMO,value_ACC,value_P2P,valueTEMP,timestamp
1,0.349609405,0.000343323,0.012512208,0.042480472,24.25,2022-12-7 12:33:41
1,0.349609405,0.000343323,0.012512208,0.042480472,24.25,2022-12-7 12:33:46
1,0.349609405,0.000343323,0.012512208,0.042480472,24.25,2022-12-7 12:33:51
1,0.349609405,0.000343323,0.012512208,0.042480472,24.25,2022-12-7 12:33:56
1,0.349609405,0.000343323,0.012512208,0.042480472,24.25,2022-12-7 12:34:1
1,0.349609405,0.000343323,0.012512208,0.042480472,24.25,2022-12-7 12:34:6
1,0.35546878,0.000333786,0.012573243,0.042236332,25,2022-12-7 12:34:11
1,0.35546878,0.000333786,0.012573243,0.042236332,25,2022-12-7 12:34:16
1,0.35546878,0.000333786,0.012573243,0.042236332,25,2022-12-7 12:34:21
1,0.35546878,0.000333786,0.012573243,0.042236332,25,2022-12-7 12:34:26
1,0.35546878,0.000333786,0.012573243,0.042236332,25,2022-12-7 12:34:31
1,0.35546878,0.000333786,0.012573243,0.042236332,25,2022-12-7 12:34:36
1,0.35546878,0.000337601,0.012634278,0.042236332,25,2022-12-7 12:34:41
1,0.35546878,0.000337601,0.012634278,0.042236332,25,2022-12-7 12:34:46
1,0.35546878,0.000337601,0.012634278,0.042236332,25,2022-12-7 12:34:51
1,0.35546878,0.000337601,0.012634278,0.042236332,25,2022-12-7 12:34:56
1,0.35546878,0.000337601,0.012634278,0.042236332,25,2022-12-7 12:35:1
1,0.35546878,0.000337601,0.012634278,0.042236332,25,2022-12-7 12:35:6
1,0.35546878,0.000339508,0.012695313,0.043701176,25,2022-12-7 12:35:11
1,0.35546878,0.000339508,0.012695313,0.043701176,25,2022-12-7 12:35:16
1,0.35546878,0.000339508,0.012695313,0.043701176,25,2022-12-7 12:35:21
1,0.35546878,0.000339508,0.012695313,0.043701176,25,2022-12-7 12:35:26
1,0.35546878,0.000339508,0.012695313,0.043701176,25,2022-12-7 12:35:32
1,0.35546878,0.000339508,0.012695313,0.043701176,25,2022-12-7 12:35:37
1,0.35546878,0.000339508,0.012695313,0.042968754,25,2022-12-7 12:35:42
1,0.35546878,0.000339508,0.012695313,0.042968754,25,2022-12-7 12:35:47
1,0.35546878,0.000339508,0.012695313,0.042968754,25,2022-12-7 12:35:52
